stock_date,open_price,close_price,low,high,volume,return
2023-06-08,4268.69,4293.93,4261.07,4298.01,3826740000,0.62
2023-06-09,4304.88,4298.86,4291.7,4322.62,3786510000,0.11
2023-06-12,4308.32,4338.93,4304.37,4340.13,3945670000,0.93
2023-06-13,4352.61,4369.01,4349.31,4375.37,4275400000,0.69
2023-06-14,4366.29,4372.59,4337.85,4391.82,4252110000,0.08
2023-06-15,4365.33,4425.84,4362.6,4439.2,4176690000,1.22
2023-06-16,4440.95,4409.59,4407.44,4448.47,6848600000,-0.37
2023-06-20,4396.11,4388.71,4367.19,4400.15,4055790000,-0.47
2023-06-21,4380.01,4365.69,4360.14,4386.22,3709330000,-0.52
2023-06-22,4355.4,4381.89,4351.82,4382.25,3511000000,0.37
2023-06-23,4354.17,4348.33,4341.34,4366.55,6053620000,-0.77
2023-06-26,4344.84,4328.82,4328.08,4362.06,3415030000,-0.45
2023-06-27,4337.36,4378.41,4335,4384.42,3573500000,1.15
2023-06-28,4367.48,4376.86,4360.22,4390.35,3739330000,-0.04
2023-06-29,4374.94,4396.44,4371.97,4398.39,3696660000,0.45
2023-06-30,4422.44,4450.38,4422.44,4458.48,3923450000,1.23
2023-07-03,4450.48,4455.59,4442.29,4456.46,2034280000,0.12
2023-07-05,4442.04,4446.82,4436.61,4454.06,3482620000,-0.20
2023-07-06,4422.62,4411.59,4385.05,4422.62,3682020000,-0.79
2023-07-07,4404.54,4398.95,4397.4,4440.39,3630480000,-0.29
2023-07-10,4394.23,4409.53,4389.92,4412.6,3429600000,0.24
2023-07-11,4415.55,4439.26,4408.46,4443.64,3624220000,0.67
2023-07-12,4467.69,4472.16,4463.23,4488.34,3920290000,0.74
2023-07-13,4491.5,4510.04,4489.36,4517.38,3839530000,0.85
2023-07-14,4514.61,4505.42,4499.56,4527.76,3647450000,-0.10
2023-07-17,4508.86,4522.79,4504.9,4532.85,3538240000,0.39
2023-07-18,4521.78,4554.98,4514.59,4562.3,4090010000,0.71
2023-07-19,4563.87,4565.72,4557.48,4578.43,4115670000,0.24
2023-07-20,4554.38,4534.87,4527.56,4564.74,3761770000,-0.68
2023-07-21,4550.16,4536.34,4535.79,4555,3570190000,0.03
2023-07-24,4543.39,4554.64,4541.29,4563.41,3856250000,0.40
2023-07-25,4555.19,4567.46,4552.42,4580.62,3812470000,0.28
2023-07-26,4558.96,4566.75,4547.58,4582.47,3990290000,-0.02
2023-07-27,4598.26,4537.41,4528.56,4607.07,4553210000,-0.64
2023-07-28,4565.75,4582.23,4564.01,4590.16,3981010000,0.99
2023-07-31,4584.82,4588.96,4573.14,4594.22,4503600000,0.15
2023-08-01,4578.83,4576.73,4567.53,4584.62,4042370000,-0.27
2023-08-02,4550.93,4513.39,4505.75,4550.93,4270710000,-1.38
2023-08-03,4494.27,4501.89,4485.54,4519.49,4149120000,-0.25
2023-08-04,4513.96,4478.03,4474.55,4540.34,4143310000,-0.53
2023-08-07,4491.58,4518.44,4491.15,4519.84,3493920000,0.90
2023-08-08,4498.03,4499.38,4464.39,4503.31,3884910000,-0.42
2023-08-09,4501.57,4467.71,4461.33,4502.44,3803100000,-0.70
2023-08-10,4487.16,4468.83,4457.92,4527.37,4504370000,0.03
2023-08-11,4450.69,4464.05,4443.98,4476.23,3753290000,-0.11
2023-08-14,4458.13,4489.72,4453.44,4490.33,3896410000,0.58
2023-08-15,4478.87,4437.86,4432.19,4478.87,3832250000,-1.16
2023-08-16,4433.79,4404.33,4403.55,4449.95,3753910000,-0.76
2023-08-17,4416.32,4370.36,4364.83,4421.17,3943700000,-0.77
2023-08-18,4344.88,4369.71,4335.31,4381.82,3940400000,-0.01
2023-08-21,4380.28,4399.77,4360.3,4407.55,3726850000,0.69
2023-08-22,4415.33,4387.55,4382.77,4418.59,3522760000,-0.28
2023-08-23,4396.44,4436.01,4396.44,4443.18,3837270000,1.10
2023-08-24,4455.16,4376.31,4375.55,4458.3,3723470000,-1.35
2023-08-25,4389.38,4405.71,4356.29,4418.46,3296180000,0.67
2023-08-28,4426.03,4433.31,4414.98,4439.56,2957230000,0.63
2023-08-29,4432.75,4497.63,4431.68,4500.14,3354820000,1.45
2023-08-30,4500.34,4514.87,4493.59,4521.65,3064110000,0.38
2023-08-31,4517.01,4507.66,4507.39,4532.26,3946360000,-0.16
2023-09-01,4530.6,4515.77,4501.35,4541.25,3246260000,0.18
2023-09-05,4510.06,4496.83,4496.01,4514.29,3526250000,-0.42
2023-09-06,4490.35,4465.48,4442.38,4490.35,3418850000,-0.70
2023-09-07,4434.55,4451.14,4430.46,4457.81,3763760000,-0.32
2023-09-08,4451.3,4457.49,4448.38,4473.53,3259290000,0.14
2023-09-11,4480.98,4487.46,4467.89,4490.77,3369920000,0.67
2023-09-12,4473.27,4461.9,4456.83,4487.11,3435740000,-0.57
2023-09-13,4462.65,4467.44,4453.52,4479.39,3529430000,0.12
2023-09-14,4487.78,4505.1,4478.69,4511.99,3648720000,0.84
2023-09-15,4497.98,4450.32,4447.21,4497.98,6932230000,-1.22
2023-09-18,4445.13,4453.53,4442.11,4466.36,3161230000,0.07
2023-09-19,4445.41,4443.95,4416.61,4449.85,3614880000,-0.22
2023-09-20,4452.81,4402.2,4401.38,4461.03,3308450000,-0.94
2023-09-21,4374.36,4330,4329.17,4375.7,3662340000,-1.64
2023-09-22,4341.74,4320.06,4316.49,4357.4,3349570000,-0.23
2023-09-25,4310.62,4337.44,4302.7,4338.51,3195650000,0.40
2023-09-26,4312.88,4273.53,4265.98,4313.01,3472340000,-1.47
2023-09-27,4282.63,4274.51,4238.63,4292.07,3875880000,0.02
2023-09-28,4269.65,4299.7,4264.38,4317.27,3846230000,0.59
2023-09-29,4328.18,4288.05,4274.86,4333.15,3865960000,-0.27
2023-10-02,4284.52,4288.39,4260.21,4300.58,3938660000,0.01
2023-10-03,4269.75,4229.45,4216.45,4281.15,3953830000,-1.37
2023-10-04,4233.83,4263.75,4220.48,4268.5,3777600000,0.81
2023-10-05,4259.31,4258.19,4225.91,4267.13,3581470000,-0.13
2023-10-06,4234.79,4308.5,4219.55,4324.1,3902030000,1.18
2023-10-09,4289.02,4335.66,4283.79,4341.73,3174630000,0.63
2023-10-10,4339.75,4358.24,4339.64,4385.46,3520240000,0.52
2023-10-11,4366.59,4376.95,4345.34,4378.64,3601660000,0.43
2023-10-12,4380.94,4349.61,4325.43,4385.85,3713140000,-0.62
2023-10-13,4360.49,4327.78,4311.97,4377.1,3566560000,-0.50
2023-10-16,4342.37,4373.63,4342.37,4383.33,3409960000,1.06
2023-10-17,4345.23,4373.2,4337.54,4393.57,3794850000,-0.01
2023-10-18,4357.35,4314.6,4303.84,4364.2,3686030000,-1.34
